alt;become frozen
ga7ís,  sg7is;dark clouds loom overhead before a storm
geg7ílcmens;could no longer stand it
gegitéy̓e,-mens;tantrum
gelléq;collapsed roof, caved in
gelmállcwem;painting a house
gelmálqwem;painting a pole
gelmálqwem;painting a wall
gelmín̓s/gelmím̓ens;lost a contest or lawcase, lost his wager/bet
gelsítc;too tired to get out of bed in the morning
gelúcw;stiff  from cold, stiff untreated leather dried from the elements
geném;growl of animals
gep;dusk
gesgíst;murky weather, dark clouds before a storm
get̓;deep
gétget;bird of prey (mosquito hawk?).
getsém;tied up, knitted fishing nets
getsentés;he tied up, knitted fishing nets
géts̓emt;became tough
getsgétsen̓kens;s/he tickled h/h  stomache
getsmín;tether
getsqéxe7ten;halter, rope tether for animals
gets̓t;tough, crunchy (snow).
gets̓úcw;sunk in water, mud, etc.).
getsúsem̓;tieing knots, tieing to stg.
getsúsens;he tieing knots, tieing to stg.
get̓t;deep
gexém;lacing to a tanning frame  1,making a furrow for planting  11
gexentés;he lacing to a tanning frame  1,making a furrow for planting  11
gexmín;string that hides are strung up to a frame with
géyem;pile up (as stones).
géyens;pile up (as stones).
géygit;touchy task, situation ***
geyt;angered
geyú7;carrots
geyú7;root of choclate tips Lomatium dissectum
gipentsút;tantrum/rage about stg.
gipmíns;angry at
gipstés;made someone angry
giqenúpye7;plant part of wild carrots
gitéy̓e;tantrum
gít̓kstmens;purposefully mean to sb.
gíwem;stacking up, piling up heavy articles/objects
gíwens;stacking up, piling up heavy articles/objects
griqenúpye7;root food
guyt;withered, tired
gw7ell;shining as a mirror in the sun
gw7us;submerged
gwellgwéllt;shining, glittering , undamaged
gwellgwllúselcken  gwellgwllús);copper snake
gwellqúm,-wentés;boiling stg.
gwesgwést;sunny
gwéts̓ens;oiled stg.,   smeared on
gwéts̓sem;putting cream on  one's face
gwitsenméy̓e;teasing
gwitsínem,-mens;teased
gwyem;doing a quick job on stg. 1,   play a trick on  11
gwyentés;he doing a quick job on stg. 1,   play a trick on  11
gyep;angry
gyeqín̓;head of the choclate lily
he7éy;quieted down, subside,
héhu,  (E  héhwem);yawn
hém̓e;aunty (thus children address older women).
héqen;maybe
héte!;come here! ( to small children)
héwent;flying squirrel
híhye;mourning dove
hip;goal posts in Indian hockey game  (Do cip) .
i7éy;interjection after listening to a legend, to show interest.
i7í7tc;pocket knife
ícen̓st;not wanting others to see you as being a sissy, as being sensible,E  silly.
ícwlem;suspect, suspicious of
ícwlens;suspect, suspicious of
íllen;ate
ímnem;call of animals and some birds
imts;grandchild
íp̓em, -é;squeeze
íq̓em;scraping fur off hides
íq̓men;bone of lower arm/front leg (of which scrapers were made),scraper.
íq̓wem;fished with a dragnet
íq̓wke7;dragnet,scraper
íq̓wtsenten;razor
íq̓wtsnem;shaved the beard
ístkem;becoming winter
íswell,  ísull;loon
íswell;loon
itc;asleep
íts̓em;covering oneself with a blanket
íts̓emst.s, íts̓mens;covered sb. with a blanket
ítstemc;blue grouse (male)
íxwe7;she has the nerve! it's almost embarrassing.
íxwem;sweeping the floor
íxwle7p;broom
ixw;with exagerated  movement ???
k̓7élep;cushion, mattress
k̓7em;lay one heavy article down ie: a rock
k7epqín̓;head ache
k7ep;sick
k7et̓;lifted up as on a hoist
k7ew;has traveled a far distance but is still within view
k̓7ilc;lie down and refuse to budge
kákem;piling hay into small piles
kákens;piling hay into small piles
ke7ce7éy̓e;stepmother
k̓e7céyecken;tuberculosis
k̓e7céyecknem;with tuberculosis
k̓e7céystem;tuberculosis
k̓e7él̓s;animal trap
k̓e7úlecw;sunk to the bottom of water
k̓écem,ens;drying meat
kécmens;gave away
kectés;s/he gave  stg. to...
kek7é7p;sickly, with constant minor ailments
kéke7;oder sister (child's language)
kekéc;your older sister
kekékstsnem;speak softly
kekéku7;a fair distance away
kekék.welc;moved over and away from stg. someone
kekelépem;follow
kekelépens;follow
kekellpékstmens;dropped from a grip, let go of
kekellpépesqenmens;dropped from the mouth as an animal with it's young.
kek̓ém;very close
kekenméllp;grizzly bear (the real bear)
kekenmém̓kst;pulling at,  grabbing things as a child would
kekentsín;soft spoken
kekepéy̓em;pretending to be sick
kekepstés;found stg. painful,  felt bad about stg.
kekeptsín;hurtful words
kekésu7  -ll;spring salmon
kek̓etmentwécw;close together
kekéw;far
kekéw te tmicw;far away
kekík̓7et;close
kekík̓7et;near, close by
kekík̓st;worn out, fairly ugly article
kék̓me7ll;almost, on the brink of
kék̓me7ll,  stétme;almost
kék̓melc;tiptoe towards, sneaking up
kekmútem;sound made by grouse
keknécw;kokanee salmon
kek̓tésq̓t;time of woman's period is drawing near
kék.welc;moved away from someone/stg.
kelc;hand
kelcwecwícw;sound of feet/hooves etc.
k̓elélnem, tsk̓elén̓em;listen, she listened
k̓elén̓emens;listened to, obeyed
kélens;chased,  expelled (sing.).
kelépem;follow
k̓elígwe7cnem;skating
kelkélcnem;spread the legs wide while standing or walking
kélkens;delouse by looking through the hair, also to clear away debri from lichen.
kell7úpekst;thirty
k̓ell;but
kellekíkllem̓, kellkekíkllen̓s;take apart, s/he took stg. apart
kellélls;three animals or small articles
kellél̓s;separated, divorced,forks in river or road
kellés;three
kellk̓állt;dripped
k̓ellkllíc;moving out of the way of others
k̓ellnéqse,  éqs;horsefly
kellpékstmens;dropped from a grip
k̓ellqém;grazed(as bullet), nicked
k̓ellqentés;he grazed(as bullet), nicked
kellqín̓em,-s;open/take off a lid
k̓ellqíse;no-see-um (fly)
k̓ellqpcén;nicked by a bullet on the leg
k̓ellqqíqen̓;head is grazed/nicked by a bullet
kelltk̓emqín̓cen;triangle
kellúsem;three parts, three groups
k̓élnem;obey
k̓elqús;stupid
kelúcw,  qelúcw;thump!
kelúcw;thump
kelwíle;gathered lichen
kem;do you think...?
k̓émell;but
k̓émell cum;meanwhile
k̓éme;pine needles
k̓éme;pine needles
kénem;what is wrong?  what  happened?
kenkéknem;black/brown bear
kenkéknem,  skenkéknem;black/brown bears
kenkénem;doing things (esp. to annoy people).
kenkenentsút;going slowly  Do
kenkenkín̓;slowly moving inch by inch
kenkín̓cen;walking slowly,  noiselessly
kenkínelc;slowed down his/her  action
kenkín̓;slowly
kenkínst.s;drove/took stg. slowly
kenkínt;slow,  E  gentle
kenkném;touched things
kenknílc;ingratiate oneself, try to get on friendly terms, staying close to someone
kénllts̓e;go and get stg.  ***
kenméllcw;bear den
kenméllts̓e;bear meat
kenméy̓lek̓ (E keken);bear skin/rug
kenmíts̓e, keken-;bear skin/hide
kenp̓ékst;finger ring
k̓entés;place (one solid object)
kentés;touched it
kentíne;leather saddle bag
k̓epcúm,-wentés;cracking
k̓épem;process of tanning hides,  she is tanning hides
k̓épens;process of tanning hides,  she is tanning hides
kep̓entwécwst.s;his/her work is croweded together
kepétkwe;hangover
kepéy̓e;pretend to be sick
kepkepstés;s/he found it painful
képkept;hurtful, painful
kepkeptwílc;became painful
keptsínmens;verbal insult
k̓eqínten;skin-covered stone put on spear shaft
kesenwéns;became aware that stg. is lost
kesés;lamp is low on fuel and is growing dim,E to go far away
k̓esésq̓t,  sk̓esésq̓t;bad weather
keskestsín;spoke softly
keskík̓sem;breaking off twigs kindling
keskséwt;far away
k̓esós,  -ús;ugly face
kespéselp̓;lamp or fire gets low
k̓estén̓;nits
k̓estentsút,  k̓est7istsút;brought shame to himself
k̓estés;s/he dislikes it
k̓estsín, -mens;swore
kest.s;what did s/he do with it?
k̓estwílc;spoiled
k̓esúlecw, ck̓esúlecwem;rough, terrible terrain
keswél;rawhide bag carried on horseback
k̓etcúm,-wentés/k̓ítcwens;cut/rip/tear off a portion
két̓elc;pull one's self up on a bar, rock climb, suspend the body over
két̓em;ift up
két̓ens;ift up
ket̓entsút;getting oneself dirty
ketkét̓t;soiled, caked on dirt
ketkít̓cnem̓;thinning out a tree
két̓menst;pulling  one's self up and along
k̓etmentwécw;close together of people or of articles
ketqítq̓e;strawberries
ketsctsín;voice carries to a distant point
ketscús;time / occasion has arrived
ketsentsín;arrive at the edge of a water, a den etc.
ketsenwécwst.s;joined both ends together as a hoop
ketsketséts̓ull;whirligig beetle
ketsnépens;caught up with a party,   E  be in close pursuit
kets̓tméws;vehicle or other is sideways across a road or waterway
k̓éwelc;ageing of humans
kéwelc;move away from stg.
kéwelcst.s;took stg. away from a particular spot
kéwku;sagebrush Artemisia tridentata.
k̓ey̓ém;winter supply of food
k (e);you, a, some, any
kí7ce;mother
k̓i7ém;See k∆ey̓ém.  ***
k̓i7ést̓ye;leftover hay from previous year
k̓ícne7ten;deer fence
k̓ícnem̓;build a deer fence, corral trap
kic;older sister
kikékit;sparrowhawk
kikékyelc;to spread wings protectingly over young
kik̓éy̓;completely empty, silent
kik̓éy̓t;everybody gone, place is deserted
kikéyt;goshawk, chickenhawk
kikéyt;hawk
kíkwe;valerian Valeriana sitchensis or sylvatica.
kikyéne;earrings
kikyéne,  kenp̓éne;earrings
kik̓yéye;small bird (bunting?)***
kíllem;take off from a stack of articles, took off stg.
kíllens;he take off from a stack of articles, took off stg.
kllentés;take off from a stack of articles, took off stg.
kíllin̓em;remove animals from traps
kíll.le7cwem;clearing land
kín̓kent;precarious, volatile
kíp̓em;pinned together of clothespins or other
kíp̓ens;pinned together of clothespins or other
kíp̓ke7;clothespin
k̓ist;bad
k̓ítcwem;cut up, cut up a piece of...
k̓ítcwens;cut up, cut up a piece of...
k̓ít̓elc;travel to another community on an invitation to a party or feast.
kít̓em;tear  off with force as buttons
kít̓ens;tear  off with force as buttons
kít̓emt;buttons have come off
kitsc;arrived at his destination
kitscst.s;got  stg. to a destination
kíts̓ens;avoiding taboo foods
kítsens;reached them there, caught up with
kiyáy;structure is moving, swaying, floor is bouncing
k̓iyékst;north wind
kiyéy7e;old lady
kiyéy7e;old lady
kiyéy7e;old woman
k̓iyéy;frigid weather
k̓lam, k̓élens;cut strips (esp. of skin),to cut a pattern, E  to slice.
klép̓qnem;curl one's hair
klép̓t;curled
k̓lígwe7cen, ckelígwe7centen;skates
k̓lígwem;scratch a mark, slash a furrow in
k̓ligwt;scratched, marked, furrowed
kllekst;let go of a grip
kllékstmens;let go, release
kllél̓sem;divide equally
kllél̓sens;divide equally
kllep;came off
k̓lleq;grazed, nicked
klléy̓nem;remove animals from traps
kllu7sélt;referee in a fight
klu7stwécwmens;divided stg. among them-selves
k̓lucw;e stekwékws,sun set,almost sun set
k̓lucw;sunset
k̓mékstem;cupped the palms of the hand
k̓mém̓ek;small hillside
kmútem;sound made by willow grouse in spring
knecwéksen̓s;gave sb. a hand with a chore
knet;touched,right up against something
knet;touching of two  objects/things
kníp̓em;crowding others
kníp̓ens;crowding others
knúcu7-ta;give her a helping hand
knúcwem;s/he was helping
knúcwens;s/he was helping
k̓nucw;haunting, lonely feeling,  E  nostalgic.
knúcwmen;helper
knúcwmen,  scwknucw;helper
knúcwten;helper,  midwife
kóso,  kúso;pig
koswánkem;overeat, eat like a pig
koswéy̓em;behaving like a pig
k̓púqe7cen;leather lace up boots
k̓sálqwem,   -é;untidy appearance of people, ugly, sloppy
k̓sekst,-mens;untidy hand work
k̓séles,  q̓séles;old clothing,  faded clothes
k̓sesq̓t;bad weather,  E  to rain (heavily), rain
k̓sétemc;not good at what  s/he does
k̓séyen;shame brought upon  self or family
k̓séyen;tragic happening in a family
k̓súlecw;rough terrain
kt̓ep;coming off (as button)
kts̓enwécw;cross / crucifix
kts̓enwécw(m)ens;blessed with the sign of the cross
kts̓úsem;to pile up (wood).
kts̓úsens;to pile up (wood).
k̓tsúsens;pile up wood
kucén;go far away
k̓úcwelcken;spine,  backbone,
k̓úcwelcken;spine
k̓úcwsens;s/he is envious of someone
k̓ucws;jealous
kúkpi7;chief, respected person
kukste7úymens;take/carry/throw  too far
kukumí7;stayed away/out of sight all the time
kúkwem;"this is what it said"  ***
kukw II.;fortunate, lucky
kukwíl̓cen;feet slipped around on a slippery surface
kukw I.;maybe so
kukwíw;slippery
kúkwpi7;chief
kukwpi7stés,  kwepi7stés;respected him/her
kukwstsétsemc;thank you
kukwst.s;said stg. to h/her, also to have done someone a favour
kukwyéy̓elcken;water bug whick flits above water
k̓úlem;make, prepare for use (food or material),pursuade
k̓úlens;make, prepare for use (food or material),pursuade
k̓últemc,-mens;hire sb. to do stg.
k̓ult;made, is ready,be born,plants growing
k̓últsens;cooked for
kúmelc;come out of  water, to go ashore
kúmest.s;brought ashore
kúme;travel up into the mountains for food gathering
kuméws;wide (of water)
kupcén̓;foot sliped
kúpem;pushed,  she pushed it
kúpens;pushed,  she pushed it
kupíken̓;slid down on his back
kúpi;master
kup̓s;hoop by the head of a baby birch cradle
kúsens;she pulled the string on top of the bag (closure), curtains etc.
kústsnem̓,  yústsnem̓;pulling strings shut on a bag,  to tie up a sack
k̓utemstés;leader of a group gets a party lost
k̓utemstsút;lost (sing.) of persons
k̓utétqem̓;threshing grain
k̓utétqens;he threshing grain
kúte;watch it!, careful!
k̓ut̓múy̓e;walking for pleasure/exercise
k̓utse;Indian celery Angelica arguta.
kúts̓em;ignore / snub a person, to crowd sb.
kúts̓ens;ignore / snub a person, to crowd sb.
kútse;traveling  from the highland meadows down to the valley
kútwe (n);eel
kuwépem;sliding on one's rear
kuwílc;slide down (of person).
kuwílep;sleigh riding
ku...;(with short u)
kuwúm;slid stg. over
kuwentés;he slid stg. over
k̓úy̓e;a male's  mother's sister
k̓úy̓e;aunt (parent's brother's wife).
kw7al;spoiled (of food)  1,  taking on a yellow tinge  11.
k̓w7éllent;burped
k̓w7est;cooked, done (of fish).
kwák̓wlem̓t;stagger
k̓walt;stagger
kwalt;yellow, green
k̓wcum;making birchbark  baskets
k̓we7ém;chewing
kwé7e!;take it
k̓we7memémelc;small (animal)
kwect.s;took from sb.
k̓wecúcw,  q̓wecúcw;stiff body limbs also paralyzed
k̓wecwtsín̓s;fitted a hoop around rim of a birchbasket
kwekúmect.s;took a souvenir/memento
kwekúme;to come ashore  1,to go up into the mountains  11.
kwekupcén̓;feet slipped
kwekuwékstmens;throw stg. far
kwek̓w7ém;chewed
kwek̓w7entés;he chewed
kwek̓we7épqens;bit off  it's head, as in the wolf fables
kwek̓wecwsúll;prone to jealousy
kwekwel7éllp;alder  Alnus incana
kwek̓welem̓stsót;make up a design, to make from scatch
kwekwélk̓;faint, E  to roll over.
kwekwelqíqen;dandelion
kwekweltíla;giving birth to several
kwekwénens;grab, get stg. without trouble
kwekwentwecwéy̓e;wrestled playfully
kwekwentwécw;wrestling
kwekwstés;s/he has done them a favour, did a good deed
kwekwstsút;fortunate
kwekwstwéllen;has done a good deed/favour  for others
kwék̓wtne,  kwék̓wcwne;mouse
kwekwyéwt;small bird (oriole?) locally called "nightingale".***
kwekwyíns;chased away friends of  another by obnoxiousness
k̓welcencetsút;cooking for one's self
kwélemt;to sweat
k̓welentsút;training
kwelk̓úlem;they made
kwelk̓úlens;they made
kwelkwákwelt;dandelions
kwelkwák̓wlem̓t;staggered
kwelk̓wált,  sesisési;stagger
kwelkwelqíqen;a plant (unid.) , with yellow petals/tops
k̓well7ép̓tsen̓s;strangled
k̓wellciyúcwt;fall off then under
kwellén;borrow
kwellenmíct.s;borrowed  from
kwellenmíns;borrowed it
kwellentés;loaned
k̓welliyúcwt;fall off from
k̓wellkekéw;fell down off of a cliff or bank of a road
k̓wellk̓emtsen̓ékst;wrist
k̓wellk̓emtsín̓cen;ankle
k̓wellk̓emtsín;collar of Shuswap boot
k̓wellk̓émt;space under stg.   ie:  bed,  table
k̓wellkíllem;sorting
k̓wellkíllens;he sorting
k̓wellkllentés;sorting
k̓wellk̓íyelt;labor in childbirth, inability to disburden oneself of baby
k̓wellkllilc;separated himself from a group
k̓wellk̓méke7;anvil stone
k̓wellk̓múse7;cheek
k̓wellkústsen̓s;pulled the string closed
k̓wellkwínem,-s;take stg. ahead of sb. else,steal sb.'s wife or sweetheart
k̓well.lúqwem̓;pulled weeds and wild vegetables out together
k̓wellmelkwptsén̓cen;sprained ankle
k̓wellnexélemtn;scare crow
k̓wellnexélmens;his scarecrow,  fearful of him/her
k̓wellpen7úm;underwater cave
k̓wellpetpénye;year before last
k̓well-;(prefix) under, below, down.
k̓wellq̓eltsín̓cen;moccasin strap/thong
k̓wellqiqéy̓em;warded off animals in a herd
k̓wellqiqéy̓ens;warded off animals in a herd
k̓wellq̓wéxem̓;smoking meat/fish
k̓wellq̓wéxens;he smoking meat/fish
k̓wellr7ép;waterfall
k̓wellsusél̓em;asking  indirectly
k̓welltek̓séle;companion
k̓welltéxwem;hang stg. down under a ledge
k̓welltéxwens;hang stg. down under a ledge
k̓welltkwékwelt;area below
k̓welltqúqwse7;dimples
k̓welltseqwtsíqwse7ten;red face-paint
k̓welltsexwtsíxw;waterfall
k̓welltsgélk̓ens;tore off the hide of an animal
k̓wellw7éc;boyfriend
k̓wellweptsín̓;fur trim
k̓wellwíst;cliff, high bank
k̓wellxgélk̓ens;to tear off/apart of hides
k̓wellxqém̓,-en̓tés;criticized
k̓wellxqém;pointing/guessing the side of bones in a lehel game
k̓wellyecúm;to lower stg. from a hight, cause to fall off
k̓wellyecút̓e7cen,  m̓-;sandpiper
k̓wellyecwentés;cause to fall off, knock off,to take stg. down from up high
k̓wellyégt;lower ground from a dwelling
k̓wellyéqwem̓;building a fire under in order to smoke meat/fish
k̓wellyéqwens;he building a fire under in order to smoke meat/fish
k̓welmelltímc;getting someone else to do your chores
k̓welmétens;ask someone to do a chore/work
k̓welsqéxe7;training a horse
kweltíla;giving birth  of people or animal
k̓weltsenélten;someone's  cook
k̓weltsentsút;cooking
k̓weltsnentsút;cooking
k̓weltstsút;wild weeds
kwemtím̓;on a continual basis
kwemtús;always
kwemtusemí7;on an ongoing basis
k̓wén̓cnem;tracking  something
k̓wénelc;try out
kwenél̓esqens;grab it by the head
kwén̓elk̓em;leading an animal on a rope
kwén̓elk̓ens;leading an animal on a rope
kwen̓elk̓entsút,  kwenelk̓entsút;animals drive themselves
kwén̓elk̓t;leadable, tame
k̓wenéllen̓t;hicupping
k̓wenéllen̓t, k̓we7níllen̓t;hiccuping
k̓wénem,-s;try, taste 1,  choose  11
kwenéy̓em;took without asking
kwenéy̓ens;took without asking
kwenéy̓e;taking without asking, as a child or a puppy would
k̓wén̓inem;checking one's traps/snares.
kwenk̓wénmens;critical of stg. someone, looking for bad points
kwén̓le;godchild,  being a midwife
k̓wén̓llq;planting  stg.
k̓wenmelltímc;have someone else do a chore for you
k̓wenme(n)7úlecwem;selected a portion of land
k̓wénmens;estimate
kwenméselp̓;gather firewood
k̓wentés;s/he it chewed
kwenwén̓s,  -en̓w;caught
k̓wesecwést̓ye (t̓úcwen̓);goose food
k̓wesecwícwelt;gosslings
k̓wésem;warm up dry fish
k̓wésens;warm up dry fish
kwesés;getting dark (in the evening)
kwesk̓wesmúm̓cw;caterpillar
kwéstens;s/he  gave it a name
kwéte!;grab it!
kwetéllp;bulrush, cattail  Scirpus acutus.
k̓wétem, k̓uwétem, -k̓ewé-  E;walk
k̓wétemst.s, k̓uwétemst.s;take sb. for a walk
k̓wétens, k̓uwétens;stepped on,  run over by a (vehicle)
kwetéqs;blunt-pointed
kwetkwetéllp;bull rushes
kwetkwít̓p;flea
k̓wetméles;walking the floor
k̓wetmúy̓est.s, cwesetúy̓ests;take sb. for a walk.
k̓wetmúy̓e;walking about
kwet̓penwéllen̓;manage to get away
kwet̓pstés;run away with stg.
kwet̓pús;dodge by ducking the head
kwet̓púsem,  qwet̓púsem;ducking the head away from stg.
kwetskúts̓ens;set poles in place, upright
kwetskúts̓ke7;salmon stretcher
k̓wetsútsen;I said to him/her...
k̓wewétem;walked
k̓wewétens;walked on it
kwéwmenst;people floated out on their boats
kwewt;floated downstream
k̓weyt;covered with hoar-frost
kwi7éy̓em;playing with dolls
k̓wícwem;turning mounts loose,untangling string
k̓wícwens;turning mounts loose,untangling string
k̓wícwens,  tswéxwens;loosen, undo
k̓wicwt;has become untied,untangled
k̓wicwt,  tswaxwt;rope/tie has loosened, become undone
kwík̓wenc;how many (animals) or small objects?
kwikwéyt;smooth  1,   sharp of hunting / butcher knife  11.
kwílelc;readied himself
k̓wimemém̓elcken;small person
k̓wimemím̓nek;small  firearms
kwímtscen;rainbow foot
k̓winc;how many articles?
kwipcén;foot slipped
kwit̓;bedbug
kwít̓pemt,  kwít̓pem;group/crowd of people ran from stg.
kwít̓pemt;scurrying off, moving away hurriedly (plural)
kwítspem̓;bending over from the waist
kwíwelc;slid himself along the ground
kwíwens;estkustés   II.,sliding  stg.
kwíwens;slid stg.along a surface
kwlalqw;yellow in colour
kwlalst;green pebble,gall.
kwlaltcw;yellow in colour
kwláscen̓;gold nuggets
kwle7éllp,  - á;alder  Alnus incana
kwlékwle;green grass
kwlem;bake bread on an open fire***
kwlentés;he bake bread on an open fire***
kwlemt;pimple, infected
kwléwsem;lay down with your back to a heater/fire
kwléwsem;lyeing by a fire or stove
kwlíken;backside  to the fire/heat
kwlilc;spawning fish
kwmum;fleeing into the bush before a raid
kwnem, kentés;take,  touch
kwnem, kwens;s/he took some
kwóte7;quarter (coin)
k̓woyí7ese;small, small amount, few
k̓woyi7se7úl̓i;too young,too little
k̓wsecwést̓ye;goose grass
k̓wséltkten;relatives, friends, same tribal members
k̓wseltktnéws;friends
k̓wsicw;goose
kwt̓em;dig root foods
kwt̓entés;he dig root foods
kwt̓ep;ran away from
kwtetúten̓t;a fair amount
kwtunt;plentiful, enough
k̓wyékstmens;tortured, teased
kwyem;smoothed out
kwyentés;he smoothed out
k̓wyemtsetsítsen̓;narrow-necked, opening
kwyem;visiting a community to compete,    D  invasion
kwyépem̓,  cwecwekwyépem;sliding along on floor/ground in sitting position,  a walking wiggle
kwyépem̓;sliding along the floor /ground on one's rear.
k̓wyépne;jaws
kwyéscnem;polish, shine something metalic
kwyétsk̓elc;people milled about in a cramped area
kwyetsk̓t;people were crowed together
kwyewt;oriole
kwyilcmens;not wanting sb. or stg. around
k̓wyúsem;suffer, have a hard time
kwyústen;whetstone
kyé7e;grandmother
kye7úy;great-grandmother
l7ep̓;bent/hung  down
l7igw;thaw of ice on a waterway
l7ix;sobered up
l7uts̓;getting tight
láts̓em;moisten with spittle
láts̓ens;moisten with spittle
Lé7es ke7 p̓úsmen ne tsitslem te swucwt;Happy New Year
le7;good
le7st.s;was good to someone, treated stg. well
lecéllts̓e,  clecécllts̓e7  E;kind-hearted, generous
lecélqwem;nice looking
lecétemc;consistant working person
lecéyen;good luck has happened to...
lecéyenst.s;has brought good luck to someone
lecúllq̓welt,  clecúsq̓welt;beautiful voice
lecús;pretty face
legég;dragging
legém;haul
legentés;he haul
leglegígem;packrat
legmenqínem,-s;dragging (a person)
legmíns;dragged, skidded
legpúplecw;sloop, sleigh-like implement for hauling things
legúm;hid an article
legúp;out of sight
legwcít.s;hid stg. from someone
legwékstem;taking things on the sly
legwékstmens;killed someone and hid remains
legwílc;went into hiding
legwlélegwt;bell
legwlígw;loose, roomy
legwtsínem,-mens;talking  behind sb.'s back
lehéts̓;otter
le;indicates past tense
lekáltem,  E  lekértem;card game
lekelét;bread
lek̓ém;wind string, wool etc.  into a ball, spin on spool, spin thread
lek̓entés;he wind string, wool etc.  into a ball, spin on spool, spin thread
lekemín;flour soup
lekepú  E;coat, jacket
lek̓éqsem;tie a string to the end of stg.
lekwetó;cotton
lekwlókw;capelet covering shoulders.
lekwókw;capelet for women
lekwókw;rooster
lelegtúpe7;tips of pine branches (used to make medicinal tea)
lelél̓sem/lulél̓sem;setting snare/traps
lél̓e;uncle (man's father's brother).
leléw;uncle (man's father's brother)
lelnúmt;became aware of others in pursuit
lél̓sem;set snares
lél̓sens;set snares
lel̓s;snare
lelúmt;suspect, sense, anticipate
lémens;showed affection to
lemés;matches
lemetsíp;half breed,  tribe (Iroquois band at Yellowhead pass)
lém̓le;showing affection to children
lens;felt, sensed
lepcúm,-wentés;make a (large) hole in stg.
lepcwétkwe;make a hole in ice
lepé-em;making yeast bread
lepél,  lepélt;shovel
lép̓ens;allowing to drape over the top of stg.
lép̓ens;pulled down branches, pulled clothing out of a waistband etc.
lepép;pope
le pexyéwtes;yesterday
lepé;yeast bread
lepík;crow bar
leputéy;bottle
lepwél;frying pan
lepwé;peas
lepwéwe;pepper
lepyos;hoe
le q̓7éses;long time ago,in the past
leqúqw;rooster
leq̓wépem;shrieking, burst out crying (sing.)
léq̓wsem,-mens;sticking out a tongue to make a face
leqwstsíllnem;picking wild vegetables
le re7áleses;last night
lerém;put into a pocket, insert into a garment on one's self
lerentés;he put into a pocket, insert into a garment on one's self
lermín;alum root
lesál/lesól;shawl
lesél;salt
lesepík;bishop
lesesyém;turnips
lestés;s/he liked a certain food etc.
leswé;embroidery thread
letántem;setting up a tent
letánt;tent
letép;table
letí,  letíy;tea
le tsímelles;from the very beginning
lewén;grain or other to attract horses in order to catch them
léwqsten;hackamore
lewt;caught, trapped in a snare
lewúp;chapped skin, ingrained dirt
léwye;caught stg. on a snare
léwyen;has caught stg. on a snare
lexém;telling on, sqealing on
lexentés;he telling on, sqealing on
lexéy̓ect.s,  celxéy̓ects;told sb. about stg.
lexéy̓em;told a story, gave an account, brought news
lexéy̓ens;told a story, gave an account, brought news
lexéy̓;swamp hay,dense swamp
lexlexéy̓em;giving  information
lexlexéy̓ens;giving  information
lexléx;observant, intelligent
lexlíxcen;toes
lexlíxkst;fingers
lexlíx;sober
lexpém̓;s/he has made a habit of...
lextsenélt;interpreter
lextsíns;translated for
lict;water laps the banks
líleqleq;sparrow hawk
lílts̓e;desert lily Calochortus macrocarpus
líp̓ens;s/he pinched...
líq̓em;buried also, a day for a funeral  burial
líq̓ens;buried also, a day for a funeral  burial
líq̓wem;sprinkle water on rocks
líq̓wens;sprinkle water on rocks
líq̓wem;splashing water on rocks in the sweathouse
liq̓wt;liquid spills over the edge of a container
lisálle7tcw;cloth of rice sacks sewn together  for drying foods
lisállem̓cw;rice sacks
liyágm,  lyam;devil
liyén,  lyen;cloth, calico
lkapí,  kapíy;coffee
lkayí,  lekayí;cottage cheese
ll7at̓;got wet
ll7egw;melt, thaw (of snow only)
ll7em, tll7em, tllentés;to lean stg.
ll7ep̓,  ll7ip;baggy
ll7íwsem,–ens;pointing  down with index finger in a lahal game to indicate  ("inside hands") of  both players with the bones
ll7um;sting, poke, prick, jab
llagllágt;fast runner
llákwekw;cloppity-clop (sound of horses running)
llákye7;stuff, belongings, useless things
llát̓ens;get stg.  wet
llát̓le7cwem;to irrigate.
llátsem;soak stg. in water
llátsens;soak stg. in water
llcum;put on an article of clothing
llcup;snagged on branch or stg.
llcupt;hung up
llcústen̓;globe of a lamp, lantern
llcústen;mask
llcwén̓kten;stick put through holes in skin (in tanning hides)
llcwentés;put on an article of (clothes).
llcwilc;fog close to the ground
llcwínek;bullsnake
llécwem;patched
llécwens;patched
llécwi7stcen;knee patch
llecwllcústen;eye glasses
llecwllecwlíle;water snail
llecwllúcwcnem;put on shoes
llecwpqín̓cen;snubbed the toes and stumbled
llecwpúsen̓s;put an arrow to the bow
llecwqín̓s;s/he closed or put a lid on stg.
llecwqín̓ten;lid, cover
llegllégt;fleet of foot, fast-running
llégwens;removed treebark
llegwlléllegwpemt;fall in flakes (snow)
llegwllgwílc;jump up and down of people and to bounce  of articles
llegwpéles;lost his/her belongings
llekekék;pelted down
llekék;settled of berries in container
lleképemc;Thompson Indians
llekllekmusékstem̓;crossed the  arms
llekllék̓ple7cens;skinned an animal starting from the heels
llekmél̓es;playing the lahal  game
llek̓t;scratched, scraped of hides during the tanning process
llekwekwékw;cloppity-clop sound of heavy hooves/feet running
llekwllkúk̓wpt;thistle
llekwllúk̓w;remember
llek̓wmenwén̓s;remembered
llek̓wmín-em,-s;remembering
llek̓wpékst;sliver in one's hand
llell7út;stung by thorns, bees or weapons
